,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
1928,B17,station,40.619589,64,71 St,,Bk,-73.998864,D,station,station,B17
1929,B14,station,40.63626,61,50 St,,Bk,-73.994791,D,station,station,B14
1930,B15,station,40.631435,62,55 St,,Bk,-73.995476,D,station,station,B15
1931,B12,station,40.646292,59,9 Av,,Bk,-73.994324,D,station,station,B12
1932,B13,station,40.640914,60,Fort Hamilton Pkwy,,Bk,-73.994304,D,station,station,B13
1933,B10,station,40.763972,224,57 St,,M,-73.97745,F,station,station,B10
1934,B18,station,40.613501,65,79 St,,Bk,-74.00061,D,station,station,B18
1935,B19,station,40.607954,66,18 Av,,Bk,-74.001736,D,station,station,B19
1936,L21,station,40.682829,131,Bushwick Av - Aberdeen St,,Bk,-73.905249,L,station,station,L21
1937,L20,station,40.688764,130,Wilson Av,,Bk,-73.904046,L IBX,station,station,L20
1939,L25,station,40.669367,134,Sutter Av,,Bk,-73.901975,L,station,station,L25
1940,L24,station,40.675345,133,Atlantic Av,,Bk,-73.903097,L IBX,station,station,L24
1941,L27,station,40.658733,136,New Lots Av,,Bk,-73.899232,L,station,station,L27
1942,J19,station,40.689941,86,Cypress Hills,,Bk,-73.87255,J,station,station,J19
1943,J16,station,40.692435,84,85 St - Forest Pkwy,,Q,-73.86001,J,station,station,J16
1944,J17,station,40.691324,85,75 St,,Q,-73.867139,J Z,station,station,J17
1945,J14,station,40.695178,82,104 St,,Q,-73.84433,J Z,station,station,J14
1946,J15,station,40.693879,83,Woodhaven Blvd,,Q,-73.851576,J Z,station,station,J15
1947,J12,station,40.700492,80,121 St,,Q,-73.828294,J Z,station,station,J12
1948,J13,station,40.697418,81,111 St,,Q,-73.836345,J,station,station,J13
1949,D29,station,40.644031,45,Beverley Rd,,Bk,-73.964492,B Q,station,station,D29
1950,D28,station,40.650527,44,Church Av,,Bk,-73.962982,B Q,station,station,D28
1953,D22,station,40.718267,231,Grand St,,M,-73.993753,B D,station,station,D22
1954,D25,station,40.67705,41,7 Av,,Bk,-73.972367,B Q,station,station,D25
1956,D27,station,40.655292,43,Parkside Av,,Bk,-73.961495,B Q,station,station,D27
1957,D26,station,40.661614,42,Prospect Park,,Bk,-73.962246,B Q,station,station,D26
1960,227,station,40.799075,441,Central Park North (110 St),,M,-73.951822,2 3,station,station,227
1961,226,station,40.802098,440,116 St,,M,-73.949625,2 3,station,station,226
1962,225,station,40.807754,439,125 St,,M,-73.945495,2 3,station,station,225
1963,224,station,40.814229,438,135 St,,M,-73.94077,2 3,station,station,224
1965,221,station,40.816109,434,3 Av - 149 St,,Bx,-73.917757,2 5,station,station,221
1966,220,station,40.81649,433,Jackson Av,,Bx,-73.907807,2 5,station,station,220
1968,S03,station,40.674772,141,Park Pl,,Bk,-73.957624,S,station,station,S03
1970,726,station,40.755882,471,34 St - 11 Av,,M,-74.00191,7,station,station,726
1974,720,station,40.742216,463,Hunters Point Av,,Q,-73.948916,7,station,station,720
1975,721,station,40.742626,464,Vernon Blvd - Jackson Av,,Q,-73.953581,7,station,station,721
1976,604,station,40.839892,363,Westchester Sq - E Tremont Av,,Bx,-73.842952,6,station,station,604
1977,607,station,40.834255,365,Castle Hill Av,,Bx,-73.851222,6,station,station,607
1978,606,station,40.836488,364,Zerega Av,,Bx,-73.847036,6,station,station,606
1979,601,station,40.852462,360,Pelham Bay Park,,Bx,-73.828121,6,station,station,601
1980,603,station,40.843863,362,Middletown Rd,,Bx,-73.836322,6,station,station,603
1981,602,station,40.84681,361,Buhre Av,,Bx,-73.832569,6,station,station,602
1982,609,station,40.831509,367,St Lawrence Av,,Bx,-73.867618,6,station,station,609
1983,608,station,40.833226,366,Parkchester,,Bx,-73.860816,6,station,station,608
1985,A15,station,40.811109,153,125 St,,M,-73.952343,A B C D,station,station,A15
1986,A14,station,40.817894,152,135 St,,M,-73.947649,B C,station,station,A14
1987,A17,station,40.800603,155,Cathedral Pkwy (110 St),,M,-73.958161,B C,station,station,A17
1988,A16,station,40.805085,154,116 St,,M,-73.954882,B C,station,station,A16
1989,A11,station,40.830518,150,155 St,,M,-73.941514,C,station,station,A11
1990,A10,station,40.836013,149,163 St - Amsterdam Av,,M,-73.939892,C,station,station,A10
1992,A19,station,40.791642,157,96 St,,M,-73.964696,B C,station,station,A19
1993,A18,station,40.796092,156,103 St,,M,-73.961454,B C,station,station,A18
1997,F18,station,40.701397,235,York St,,Bk,-73.986751,F,station,station,F18
1998,R26,station,40.70722,22,Rector St,,M,-74.013342,R W,station,station,R26
2000,R24,station,40.713282,20,City Hall,,M,-74.006978,R W,station,station,R24
2002,R22,station,40.724329,17,Prince St,,M,-73.997702,R W,station,station,R22
2003,R21,station,40.730328,16,8 St - NYU,,M,-73.992629,R W,station,station,R21
2005,X1,station,40.642025,X1,Brooklyn Army Terminal,,Bk,-74.028859,IBX,station,station,X1
2006,X5,station,40.630902,X5,Brooklyn College,,Bk,-73.947985,IBX,station,station,X5
2007,X6,station,40.637348,X6,Farragut Rd - Utica Av,,Bk,-73.928442,IBX,station,station,X6
2008,X7,station,40.643589,X7,Ralph Av,,Bk,-73.919353,IBX,station,station,X7
2009,X8,station,40.651228,X8,Rockaway Pkwy,,Bk,-73.908889,IBX,station,station,X8
2010,X12,station,40.700453,X12,Myrtle Av,,Q,-73.894421,IBX,station,station,X12
2011,X14,station,40.733015,X14,74 St,,Q,-73.887789,IBX,station,station,X14
2012,X15,station,40.738486,X15,Queens Blvd,,Q,-73.890111,IBX,station,station,X15
2013,X16,station,40.74653,X16,Jackson Hts ,,Q,-73.894401,IBX,station,station,X16
2014,complex,complex,40.755746,611,42 St - Port Authority Bus Terminal,complex,M,-73.9875808,complex,complex,complex,611c
2015,complex,complex,40.71870125,623,Canal St,complex,M,-74.00058,complex,complex,complex,623c
2016,complex,complex,40.712603,624,Chambers St,complex,M,-74.0095515,complex,complex,complex,624c
2017,complex,complex,40.71008875,628,Fulton St,complex,M,-74.00783824999999,complex,complex,complex,628c
2018,complex,complex,40.751992,610,Grand Central - 42 St,complex,M,-73.97735933333333,complex,complex,complex,610c
2019,complex,complex,40.678896,621,Broadway Jct,complex,Bk,-73.90435599999999,complex,complex,complex,621c
2020,complex,complex,40.68416166666667,617,Atlantic Av - Barclays Ctr,complex,Bk,-73.97778866666665,complex,complex,complex,617c
2021,complex,complex,40.693241,620,Borough Hall,complex,Bk,-73.990642,complex,complex,complex,620c
2022,complex,complex,40.747141,606,Court Sq,complex,Q,-73.945032,complex,complex,complex,606c
2023,complex,complex,40.735065999999996,602,14 St - Union Sq,complex,M,-73.99041633333333,complex,complex,complex,602c
2024,complex,complex,40.737796333333335,601,14 St,complex,M,-73.997732,complex,complex,complex,601c
2025,complex,complex,40.749643,607,34 St - Herald Sq,complex,M,-73.9878865,complex,complex,complex,607c
2026,complex,complex,40.670559499999996,608,4 Av,complex,Bk,-73.9890405,complex,complex,complex,608c
2027,complex,complex,40.7540215,609,42 St - Bryant Pk,complex,M,-73.98326599999999,complex,complex,complex,609c
2028,complex,complex,40.740335,618,14 St,complex,M,-74.002134,complex,complex,complex,618c
2029,complex,complex,40.7573295,612,51 St,complex,M,-73.97048749999999,complex,complex,complex,612c
2030,complex,complex,40.8406375,605,168 St,complex,M,-73.939847,complex,complex,complex,605c
2031,complex,complex,40.762592999999995,613,59 St,complex,M,-73.9676125,complex,complex,complex,613c
2032,complex,complex,40.625657000000004,615,62 St,complex,Bk,-73.996624,complex,complex,complex,615c
2033,complex,complex,40.746746,616,74 St - Broadway,complex,Q,-73.891366,complex,complex,complex,616c
2034,complex,complex,40.8279495,604,161 St - Yankee Stadium,complex,Bx,-73.925741,complex,complex,complex,604c
2035,complex,complex,40.750582,461,Queensboro Plaza,complex,Q,-73.940202,complex,complex,complex,461c
2036,complex,complex,40.8183925,603,149 St - Grand Concourse,complex,Bx,-73.92703449999999,complex,complex,complex,603c
2037,complex,complex,40.7682715,614,59 St - Columbus Circle,complex,M,-73.9818325,complex,complex,complex,614c
2038,complex,complex,40.725606,619,Bleecker St,complex,M,-73.9954315,complex,complex,complex,619c
2039,complex,complex,40.718463,625,Delancey St,complex,M,-73.9877755,complex,complex,complex,625c
2040,complex,complex,40.6705125,626,Botanic Garden,complex,Bk,-73.958688,complex,complex,complex,626c
2041,complex,complex,40.680988,627,Franklin Av,complex,Bk,-73.95633749999999,complex,complex,complex,627c
2042,complex,complex,40.7134275,629,Lorimer St,complex,Bk,-73.95084650000001,complex,complex,complex,629c
2043,complex,complex,40.699622000000005,630,Myrtle - Wyckoff Avs,complex,Bk,-73.9119855,complex,complex,complex,630c
2044,complex,complex,40.702248999999995,635,South Ferry Loop,complex,M,-74.01309950000001,complex,complex,complex,635c
2045,complex,complex,40.692259,636,Jay St - MetroTech,complex,Bk,-73.98664199999999,complex,complex,complex,636c
2046,complex,complex,40.732338,167,W 4 St,complex,M,-74.000495,complex,complex,complex,167c
2047,complex,complex,40.824783,151,145 St,complex,M,-73.944216,complex,complex,complex,151c
2048,complex,complex,40.713154,622,Brooklyn Bridge - City Hall,complex,M,-74.003766,complex,complex,complex,622c
